id_texto,texto
1001,"Tenho acumulado muitas faltas, a recuperação será difícil. o trânsito estava horrível, cheguei atrasado na primeira aula. tudo parece cinzento e sem cor."
1002,"Minhas notas refletem meu desinteresse. comi uma coisa nova no ru, estava razoável."
1003,"Minhas notas vieram boas, o esforço valeu a pena!. o trânsito estava horrível, cheguei atrasado na primeira aula. tudo parece cinzento e sem cor."
1004,"Choveu o dia todo, não consegui sair para a rua. organizei minha rotina e a exaustão diminuiu. consegui avançar muito no projeto de pesquisa. as preocupações de ontem diminuíram hoje."
1005,"O trânsito estava horrível, cheguei atrasado na primeira aula. sinto que o tempo está correndo e eu estou ficando para trás. fui mal na prova e isso só piora meu humor. estou sempre preocupado com o que pode dar errado. minha cabeça não desliga, repasso tudo mil vezes antes de dormir."
1006,"Lavei as roupas hoje, a pilha estava gigante. tenho acumulado muitas faltas, a recuperação será difícil. a solidão bateu forte hoje, mesmo estando rodeado de gente."
1007,"É um esforço enorme levantar da cama. minhas notas vieram boas, o esforço valeu a pena!. lavei as roupas hoje, a pilha estava gigante."
1008,"Comi uma coisa nova no ru, estava razoável. me senti produtivo e o trabalho fluiu bem. consegui avançar muito no projeto de pesquisa. consegui me organizar bem para a prova."
1009,"Organizei minha rotina e a exaustão diminuiu. choveu o dia todo, não consegui sair para a rua. minhas notas vieram boas, o esforço valeu a pena!. as coisas parecem sob controle."
1010,"Minhas notas refletem meu desinteresse. o trânsito estava horrível, cheguei atrasado na primeira aula. meu estômago está revirado só de pensar na próxima apresentação. sinto que o tempo está correndo e eu estou ficando para trás."
1011,"Lavei as roupas hoje, a pilha estava gigante. as preocupações de ontem diminuíram hoje. o esforço valeu a pena, senti-me competente. estou animado com o novo tópico da matéria."
1012,"Tirei uma nota alta na prova difícil, estou aliviado. consegui ter um bom tempo de descanso hoje. as coisas parecem sob controle. choveu o dia todo, não consegui sair para a rua."
1013,"Tenho tido ataques de pânico leves no meio da noite. fui mal na prova e isso só piora meu humor. não vejo sentido em continuar tentando. lavei as roupas hoje, a pilha estava gigante. é um esforço enorme levantar da cama."
1014,"Estou animado com o novo tópico da matéria. me senti produtivo e o trabalho fluiu bem. as coisas parecem sob controle. choveu o dia todo, não consegui sair para a rua."
1015,"Choveu o dia todo, não consegui sair para a rua. fui mal na prova e isso só piora meu humor. sinto um cinismo e irritação com todo mundo da faculdade. não consigo parar de pensar no prazo final."
1016,"Sinto que sou um fardo para minha família e amigos. a solidão bateu forte hoje, mesmo estando rodeado de gente. comi uma coisa nova no ru, estava razoável. minhas notas vieram boas, o esforço valeu a pena!."
1017,"Não estou sentindo aquela pressão de antes. lavei as roupas hoje, a pilha estava gigante. minhas notas vieram boas, o esforço valeu a pena!. me senti produtivo e o trabalho fluiu bem."
1018,"Minhas notas refletem meu desinteresse. sinto que sou um fardo para minha família e amigos. lavei as roupas hoje, a pilha estava gigante."
1019,"Comi uma coisa nova no ru, estava razoável. sinto que o tempo está correndo e eu estou ficando para trás. sinto que sou um fardo para minha família e amigos. o tcc está travado, não consigo escrever uma linha coerente."
1020,"Tirei uma nota alta na prova difícil, estou aliviado. o trânsito estava horrível, cheguei atrasado na primeira aula. a solidão bateu forte hoje, mesmo estando rodeado de gente."
1021,"Estou exausto. o corpo dói e a mente está lenta. comi uma coisa nova no ru, estava razoável. me senti produtivo e o trabalho fluiu bem. estou animado com o novo tópico da matéria. as preocupações de ontem diminuíram hoje."
1022,"Consegui avançar muito no projeto de pesquisa. lavei as roupas hoje, a pilha estava gigante. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. o esforço valeu a pena, senti-me competente. não estou sentindo aquela pressão de antes."
1023,"Consegui ter um bom tempo de descanso hoje. fui mal na prova e isso só piora meu humor. as coisas parecem sob controle. comi uma coisa nova no ru, estava razoável."
1024,"Sinto um cinismo e irritação com todo mundo da faculdade. comi uma coisa nova no ru, estava razoável. tudo parece cinzento e sem cor. minhas notas refletem meu desinteresse."
1025,"Consegui avançar muito no projeto de pesquisa. é um esforço enorme levantar da cama. não vejo sentido em continuar tentando. o trânsito estava horrível, cheguei atrasado na primeira aula."
1026,"Não sinto mais prazer nas coisas que gostava. choveu o dia todo, não consegui sair para a rua. tudo parece cinzento e sem cor. minhas notas refletem meu desinteresse."
1027,"Não vejo sentido em continuar tentando. tudo parece cinzento e sem cor. minhas notas refletem meu desinteresse. comi uma coisa nova no ru, estava razoável."
1028,"O tcc está travado, não consigo escrever uma linha coerente. meu estômago está revirado só de pensar na próxima apresentação. choveu o dia todo, não consegui sair para a rua. sinto um cinismo e irritação com todo mundo da faculdade."
1029,"Não sinto mais prazer nas coisas que gostava. minhas notas refletem meu desinteresse. choveu o dia todo, não consegui sair para a rua. é um esforço enorme levantar da cama."
1030,"Estou com medo de ser reprovado em duas matérias. estou desorientado e não consigo manter o foco em nada. comi uma coisa nova no ru, estava razoável. meu estômago está revirado só de pensar na próxima apresentação. sinto um cinismo e irritação com todo mundo da faculdade. é um esforço enorme levantar da cama."
1031,"Estou com medo de ser reprovado em duas matérias. lavei as roupas hoje, a pilha estava gigante."
1032,"O esforço valeu a pena, senti-me competente. as preocupações de ontem diminuíram hoje. estou animado com o novo tópico da matéria. o trânsito estava horrível, cheguei atrasado na primeira aula."
