id_texto;texto;score_ansiedade;score_depressao;score_burnout
1001;Tenho acumulado muitas faltas, a recuperação será difícil. o trânsito estava horrível, cheguei atrasado na primeira aula. tudo parece cinzento e sem cor.;0,545;0,349;0,218
1002;Minhas notas refletem meu desinteresse. comi uma coisa nova no ru, estava razoável.;0,18;0,203;0,426
1003;Minhas notas vieram boas, o esforço valeu a pena!. o trânsito estava horrível, cheguei atrasado na primeira aula. tudo parece cinzento e sem cor.;0,277;0,175;0,249
1004;Choveu o dia todo, não consegui sair para a rua. organizei minha rotina e a exaustão diminuiu. consegui avançar muito no projeto de pesquisa. as preocupações de ontem diminuíram hoje.;0,257;0,247;0,14
1005;O trânsito estava horrível, cheguei atrasado na primeira aula. sinto que o tempo está correndo e eu estou ficando para trás. fui mal na prova e isso só piora meu humor. estou sempre preocupado com o que pode dar errado. minha cabeça não desliga, repasso tudo mil vezes antes de dormir.;0,807;0,367;0,199
1006;Lavei as roupas hoje, a pilha estava gigante. tenho acumulado muitas faltas, a recuperação será difícil. a solidão bateu forte hoje, mesmo estando rodeado de gente.;0,376;0,542;0,171
1007;É um esforço enorme levantar da cama. minhas notas vieram boas, o esforço valeu a pena!. lavei as roupas hoje, a pilha estava gigante.;0,258;0,267;0,208
1008;Comi uma coisa nova no ru, estava razoável. me senti produtivo e o trabalho fluiu bem. consegui avançar muito no projeto de pesquisa. consegui me organizar bem para a prova.;0,084;0,104;0,207
1009;Organizei minha rotina e a exaustão diminuiu. choveu o dia todo, não consegui sair para a rua. minhas notas vieram boas, o esforço valeu a pena!. as coisas parecem sob controle.;0,219;0,245;0,227
1010;Minhas notas refletem meu desinteresse. o trânsito estava horrível, cheguei atrasado na primeira aula. meu estômago está revirado só de pensar na próxima apresentação. sinto que o tempo está correndo e eu estou ficando para trás.;0,503;0,298;0,503
1011;Lavei as roupas hoje, a pilha estava gigante. as preocupações de ontem diminuíram hoje. o esforço valeu a pena, senti-me competente. estou animado com o novo tópico da matéria.;0,116;0,155;0,16
1012;Tirei uma nota alta na prova difícil, estou aliviado. consegui ter um bom tempo de descanso hoje. as coisas parecem sob controle. choveu o dia todo, não consegui sair para a rua.;0,277;0,255;0,113
1013;Tenho tido ataques de pânico leves no meio da noite. fui mal na prova e isso só piora meu humor. não vejo sentido em continuar tentando. lavei as roupas hoje, a pilha estava gigante. é um esforço enorme levantar da cama.;0,795;0,518;0,13
1014;Estou animado com o novo tópico da matéria. me senti produtivo e o trabalho fluiu bem. as coisas parecem sob controle. choveu o dia todo, não consegui sair para a rua.;0,23;0,139;0,099
